test,predict
3.546444444,3.7079396
3.666222222,3.7065265
3.271777778,3.679245
3.419888889,3.8430047
3.2675555560000005,3.7981591
3.297333333,3.6671662
3.220222222,3.7249787
3.066444444,3.5801637
3.261555556,3.2715385
3.442888889,3.3826623
3.465555556,3.407297
3.334333333,3.3474889
3.401333333,3.1529381
3.192333333,3.1073039
3.067,2.978957
2.997222222,2.8874736
2.784222222,2.8995554
2.89,2.938081
2.818777778,3.0870779
2.868555556,3.0685015
2.731222222,3.133081
2.762777778,3.1231928
2.698666667,3.124617
