test,predict
4.222,3.5393336
4.002444444,3.5467768
3.968111111,3.6627333
3.682666667,3.4296262
3.523333333,3.1603496
3.397777778,3.0605443
3.394666667,3.0363424
3.356888889,3.0540402
3.368555556,3.0625963
3.2877499999999995,3.0998886
3.325333333,3.1615496
3.407888889,3.4472542
3.1891111109999994,3.468811
3.146,3.5198987
3.026111111,3.1762533
3.017888889,3.1166375
2.975,3.0119894
3.088555556,2.9908895
2.954666667,3.0522509
3.045555556,2.8854856
2.923111111,3.0000606
2.993111111,3.0365489
2.979,3.0787508
