test,predict
4.222,3.8128579
4.002444444,3.6451435
3.968111111,3.7472239
3.682666667,3.5284557
3.523333333,3.320203
3.397777778,3.1115937
3.394666667,3.0320363
3.356888889,3.068204
3.368555556,3.0777164
3.2877499999999995,3.08066
3.325333333,3.0264804
3.407888889,3.2633579
3.1891111109999994,3.3520777
3.146,3.4819741
3.026111111,3.1155367
3.017888889,3.0720289
2.975,3.0903218
3.088555556,3.0790484
2.954666667,3.0779393
3.045555556,2.9742897
2.923111111,3.0806334
2.993111111,3.031891
2.979,3.0777097
