test,predict
3.6432222219999995,3.3746395
3.383777778,3.2989137
3.339777778,3.3467832
4.044,3.3863184
3.680888889,3.3951766
3.424777778,3.2427962
3.466111111,3.1532288
3.470333333,3.0283298
3.522222222,3.041983
3.398666667,3.0573928
3.265777778,3.2841685
3.177222222,3.3137255
3.268555556,3.2802868
3.263222222,3.3333216
3.061888889,3.2415183
3.212666667,3.3776186
3.219111111,3.22029
3.1401111110000004,3.1360927
3.081222222,3.0568256
3.1951111110000006,2.946915
3.164777778,2.820486
3.287888889,2.8050597
3.361111111,2.7826152
