test,predict
3.621444444,3.7838485
3.893555556,3.8037734
3.872444444,3.83976
3.478777778,3.7551773
3.532222222,3.6538517
3.648,3.1912353
3.481777778,3.1444354
3.506666667,3.265944
3.179333333,3.1377249
3.313111111,3.0338771
3.300666667,2.9275296
3.373333333,2.9450274
3.3034444440000006,2.9852927
2.935666667,3.0494993
3.136444444,3.0774484
3.193333333,3.0865932
3.019444444,3.020752
2.970666667,2.9784381
2.930666667,2.9743428
3.073555556,2.9511654
3.0666666670000002,3.016564
3.059333333,2.9177976
2.94,2.9142888
