test,predict
3.6432222219999995,3.351279
3.383777778,3.3222773
3.339777778,3.2953234
4.044,3.3294075
3.680888889,3.377916
3.424777778,3.195507
3.466111111,3.1072323
3.470333333,3.0553308
3.522222222,3.0956178
3.398666667,3.1212337
3.265777778,3.2661982
3.177222222,3.3268104
3.268555556,3.3002274
3.263222222,3.3317416
3.061888889,3.1745722
3.212666667,3.1319814
3.219111111,3.0633569
3.1401111110000004,3.193536
3.081222222,3.1570995
3.1951111110000006,2.9809933
3.164777778,2.8596106
3.287888889,2.8329437
3.361111111,2.8076713
