test,predict
3.546444444,3.6498134
3.666222222,3.6348808
3.271777778,3.5911062
3.419888889,3.769368
3.2675555560000005,3.7656069
3.297333333,3.6004915
3.220222222,3.5475078
3.066444444,3.4677334
3.261555556,3.2726054
3.442888889,3.3054528
3.465555556,3.249141
3.334333333,3.3707335
3.401333333,3.112351
3.192333333,3.085737
3.067,3.1288955
2.997222222,3.119945
2.784222222,3.0197294
2.89,3.0112839
2.818777778,3.1183453
2.868555556,3.1196795
2.731222222,3.0759552
2.762777778,3.0658302
2.698666667,3.255637
