test,predict
3.621444444,3.9694695
3.893555556,3.9906826
3.872444444,3.966919
3.478777778,3.9271164
3.532222222,3.8207712
3.648,3.452643
3.481777778,3.3626716
3.506666667,3.4585283
3.179333333,3.3880098
3.313111111,3.1515448
3.300666667,3.097629
3.373333333,3.0732267
3.3034444440000006,3.1052027
2.935666667,3.2006528
3.136444444,3.1491404
3.193333333,3.114247
3.019444444,3.0953124
2.970666667,3.1145256
2.930666667,3.2168677
3.073555556,3.1612544
3.0666666670000002,3.119953
3.059333333,3.040878
2.94,3.0816271
