kf, avg-mse, std-mse, avg-mae, std-mae, avg-mape, std-mape, avg-r2, std-r2
1,0.1300160009567152,0.011171110768906513,0.2979815416323975,0.011035735046114527,0.09100635138842506,0.003820103751334489,0.18116660447249677,0.07035502165431841
2,0.07001225471709942,0.01042711730448409,0.22072043200172065,0.013884336923672521,0.07136236676383294,0.004752907104227234,0.10789895753348777,0.13286305740099216
3,0.08247210759719682,0.008081845961815817,0.22787491368480275,0.00462347103909151,0.06653057609527822,0.0011400967864910125,-0.7361083470460462,0.17012976438504068
4,0.07204280327185533,0.008087332017493176,0.218327201131925,0.010666392027479847,0.06728957240461497,0.0033052971992200576,0.4278338614054588,0.06422983728881078
5,0.026430121315919014,0.008539046599841898,0.13054197382393953,0.021141984237914038,0.04144702636847327,0.006787365551798384,0.49363234035102205,0.1635973210532029
6,0.07274347761889735,0.019204816036120002,0.21874646368589082,0.02209863908016408,0.06355319647085987,0.005948644127847116,0.419700673725001,0.15320331350367822
7,0.11430513823728847,0.006855860535959741,0.22670198503382405,0.016343638680058364,0.06379107255189768,0.005706772833144416,0.14670013580969127,0.051179719078750296
8,0.041688898681853416,0.003110390610833548,0.16396472496340972,0.003600471444892369,0.04905884031188841,0.0011883094395490003,0.48825453686174625,0.038181106577774584
