test,predict
4.449555556,3.4697561
4.023333333,3.3217854
3.948444444,3.0960472
3.3478888890000005,2.9800196
3.348,3.1355531
3.424,3.5402875
3.420888889,3.5156653
3.226666667,3.3574066
3.051333333,3.3842976
3.029444444,3.044823
3.196555556,3.0175514
3.096888889,2.9586413
3.162777778,2.8910906
3.1025555559999995,2.9198973
3.053555556,2.9561615
3.005888889,3.0027676
3.043444444,3.067579
3.149888889,3.0775652
3.121888889,2.963898
3.016777778,2.971729
3.085555556,3.0819438
3.0960000000000005,3.0621314
2.971333333,3.036583
